<DEBUG> 23-Jan-2020::04:00:08.321 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "csv" op read
<DEBUG> 23-Jan-2020::04:00:08.321 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "count" op read
<DEBUG> 23-Jan-2020::04:00:08.322 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "context-match" op read
<DEBUG> 23-Jan-2020::04:00:08.322 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "compare" op read
<DEBUG> 23-Jan-2020::04:00:08.322 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "append" op read
<DEBUG> 23-Jan-2020::04:00:08.323 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | until" op read
<DEBUG> 23-Jan-2020::04:00:08.323 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | tab" op read
<DEBUG> 23-Jan-2020::04:00:08.324 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | sort-by" op read
<DEBUG> 23-Jan-2020::04:00:08.324 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | select" op read
<DEBUG> 23-Jan-2020::04:00:08.324 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | save" op read
<DEBUG> 23-Jan-2020::04:00:08.325 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | nomore" op read
<DEBUG> 23-Jan-2020::04:00:08.325 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | more" op read
<DEBUG> 23-Jan-2020::04:00:08.325 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | match-any" op read
<DEBUG> 23-Jan-2020::04:00:08.326 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | match-all" op read
<DEBUG> 23-Jan-2020::04:00:08.326 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | match" op read
<DEBUG> 23-Jan-2020::04:00:08.326 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | linnum" op read
<DEBUG> 23-Jan-2020::04:00:08.327 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | hide" op read
<DEBUG> 23-Jan-2020::04:00:08.327 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | find" op read
<DEBUG> 23-Jan-2020::04:00:08.328 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | extended" op read
<DEBUG> 23-Jan-2020::04:00:08.328 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | except" op read
<DEBUG> 23-Jan-2020::04:00:08.328 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | display" op read
<DEBUG> 23-Jan-2020::04:00:08.329 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | details" op read
<DEBUG> 23-Jan-2020::04:00:08.329 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | de-select" op read
<DEBUG> 23-Jan-2020::04:00:08.329 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | csv" op read
<DEBUG> 23-Jan-2020::04:00:08.330 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | count" op read
<DEBUG> 23-Jan-2020::04:00:08.330 bf060 confd[36529]: devel-aaa User: admin[Administrator,root] Command Rule "CMD-183/183" triggered full_match accept for "show addressContext default zone ZONE_IAD sipTrunkGroup TG_SIPART_IAD | details | display json | context-match" op read
